geracao,melhor_aptidao,media_aptidao,pior_aptidao,melhor_global
1,2897,2879.7,2814,2897
2,2897,2883.7,2812,2897
3,2897,2891.05,2822,2897
4,2897,2897.0,2897,2897
5,2897,2894.15,2840,2897
6,2897,2893.3,2823,2897
7,2897,2889.25,2814,2897
8,2897,2889.85,2822,2897
9,2897,2890.8,2820,2897
10,2897,2891.65,2806,2897
11,2897,2891.4,2844,2897
12,2911,2890.2,2808,2911
13,2950,2899.75,2842,2950
14,2950,2918.5,2843,2950
15,2971,2947.15,2911,2971
16,2971,2956.3,2950,2971
17,3022,2972.5,2950,3022
18,3029,2986.65,2971,3029
19,3029,3021.05,2968,3029
20,3029,3024.6,3000,3029
21,3029,3027.35,2996,3029
22,3029,3028.5,3019,3029
23,3029,3023.9,2977,3029
24,3029,3029.0,3029,3029
25,3082,3029.8,2987,3082
26,3082,3040.65,2992,3082
27,3082,3064.55,3029,3082
28,3082,3078.6,3014,3082
29,3082,3079.65,3035,3082
30,3082,3076.75,3037,3082
