iteracao,temperatura,f_atual,f_vizinho,delta,prob_aceitacao,aceite,movimento,melhor_ate_agora
1,27.96,2796,2771,25,0.408961,Não,Substituição em PL2: 'Neverita' → 'Heaven (feat. Sofia Quinn) - Club Mix',2796
2,27.96,2796,2796,0,1.0,Sim,Troca inter-playlist: 'Sweater Weather' (PL2) ↔ 'Hands Up - Single Version' (PL4),2796
3,27.96,2796,2732,64,0.101369,Não,Substituição em PL2: 'Glimpse of Us' → 'Silver Light',2796
4,27.96,2796,2778,18,0.525305,Não,Substituição em PL3: 'Hold On' → 'World Spins Madly On',2796
5,27.96,2796,2769,27,0.38073,Não,Substituição em PL2: 'Hands Up - Single Version' → 'Blanche',2796
6,27.96,2796,2743,53,0.150233,Não,Substituição em PL2: 'Neverita' → 'Tô na Vaquejada',2796
7,27.96,2796,2796,0,1.0,Sim,Troca inter-playlist: 'Me Porto Bonito' (PL3) ↔ 'Zuipen' (PL4),2796
8,27.96,2796,2729,67,0.091056,Não,Substituição em PL2: 'Unholy (feat. Kim Petras)' → 'O Mito Do Insubstituível',2796
9,27.96,2796,2738,58,0.125633,Não,Substituição em PL2: 'Super Freaky Girl' → 'The Wedding',2796
10,27.96,2796,2796,0,1.0,Sim,Troca inter-playlist: 'Transgender' (PL1) ↔ 'The Demander' (PL4),2796
11,27.96,2796,2721,75,0.068399,Não,Substituição em PL2: 'Glimpse of Us' → 'John (Met Z`n Accordeon)',2796
12,27.96,2796,2796,0,1.0,Sim,Troca inter-playlist: 'Transgender' (PL4) ↔ 'Zuipen' (PL3),2796
13,27.96,2796,2796,0,1.0,Sim,"Troca inter-playlist: 'Quevedo: Bzrp Music Sessions, Vol. 52' (PL2) ↔ 'Sweater Weather' (PL4)",2796
14,27.96,2796,2822,-26,1.0,Sim,Substituição em PL4: 'I Like Pencils' → 'Oriente',2796
15,27.96,2822,2822,0,1.0,Sim,Troca inter-playlist: 'Oriente' (PL4) ↔ 'Transgender' (PL3),2822
16,27.96,2822,2855,-33,1.0,Sim,Substituição em PL4: 'GOD Will Provide' → 'Nilüfer',2822
17,27.96,2855,2855,0,1.0,Sim,Troca inter-playlist: 'Roll Your Hands' (PL4) ↔ 'Neverita' (PL2),2855
18,27.96,2855,2811,44,0.207282,Sim,Substituição em PL1: 'YKWIM?' → 'The Destroyer',2855
19,27.96,2811,2827,-16,1.0,Sim,Substituição em PL4: 'Nilüfer' → 'attached',2855
20,27.96,2827,2812,15,0.584803,Não,Substituição em PL4: 'attached' → 'Bir Şehri Düşlemek',2855
21,27.96,2827,2817,10,0.699315,Sim,Substituição em PL1: 'The Destroyer' → 'Through My Fingers',2855
22,27.96,2817,2817,0,1.0,Sim,Troca inter-playlist: 'Flor de Capomo' (PL4) ↔ 'Super Freaky Girl' (PL2),2855
23,27.96,2817,2824,-7,1.0,Sim,Substituição em PL4: 'TROPA DA MAINSTREET SO TEM MALVADAO' → 'A los Que Se Han Apagado',2855
24,27.96,2824,2824,0,1.0,Sim,Troca inter-playlist: 'i was all over her' (PL1) ↔ 'Transgender' (PL4),2855
25,27.96,2824,2727,97,0.031141,Não,"Substituição em PL4: 'Me Porto Bonito' → 'How Far I'll Go - From ""Moana""'",2855
26,27.96,2824,2826,-2,1.0,Sim,Substituição em PL2: 'Flor de Capomo' → 'Cómo Olvidar',2855
27,27.96,2826,2826,0,1.0,Sim,Troca inter-playlist: 'Cómo Olvidar' (PL2) ↔ 'Super Freaky Girl' (PL4),2855
28,27.96,2826,2818,8,0.75117,Sim,Substituição em PL4: 'Cómo Olvidar' → 'Pub Feed',2855
29,27.96,2818,2818,0,1.0,Sim,"Troca inter-playlist: 'Quevedo: Bzrp Music Sessions, Vol. 52' (PL4) ↔ 'Glimpse of Us' (PL2)",2855
30,27.96,2818,2748,70,0.081792,Não,Substituição em PL2: 'Another Love' → 'Timeless',2855
31,8.388,2818,2818,0,1.0,Sim,Troca inter-playlist: 'Tell Me Now' (PL4) ↔ 'I Ain't Worried' (PL2),2855
32,8.388,2818,2818,0,1.0,Sim,Troca inter-playlist: 'Zuipen' (PL4) ↔ 'Oriente' (PL3),2855
33,8.388,2818,2818,0,1.0,Sim,Troca inter-playlist: 'i was all over her' (PL4) ↔ 'Transgender' (PL1),2855
34,8.388,2818,2818,0,1.0,Sim,Troca inter-playlist: 'Oriente' (PL4) ↔ 'Tell Me Now' (PL2),2855
35,8.388,2818,2818,0,1.0,Sim,"Troca inter-playlist: 'attached' (PL4) ↔ 'Quevedo: Bzrp Music Sessions, Vol. 52' (PL2)",2855
36,8.388,2818,2814,4,0.620722,Não,Substituição em PL3: 'Zuipen' → 'Don't Break My Heart Again',2855
37,8.388,2818,2818,0,1.0,Sim,Troca inter-playlist: 'attached' (PL2) ↔ 'Neverita' (PL4),2855
38,8.388,2818,2799,19,0.103815,Não,Substituição em PL4: 'attached' → 'Nauliza',2855
39,8.388,2818,2811,7,0.43408,Não,"Substituição em PL3: 'Zuipen' → 'Carmen, Act II, No.17 Duo (continued...): Au quartier! pour l'appel (Carmen/Don José)'",2855
40,8.388,2818,2775,43,0.005938,Não,"Substituição em PL4: 'Quevedo: Bzrp Music Sessions, Vol. 52' → 'Strawberry Huracan'",2855
41,8.388,2818,2818,0,1.0,Sim,Troca inter-playlist: 'The Demander' (PL1) ↔ 'Transgender' (PL4),2855
42,8.388,2818,2750,68,0.000301,Não,Substituição em PL4: 'I Ain't Worried' → 'Teddy Bear / Hound Dog',2855
43,8.388,2818,2861,-43,1.0,Sim,Substituição em PL4: 'Tell Me Now' → 'Jamais Serão',2855
44,8.388,2861,2898,-37,1.0,Sim,Substituição em PL4: 'The Demander' → 'Selfish',2861
45,8.388,2898,2898,0,1.0,Sim,Troca inter-playlist: 'attached' (PL4) ↔ 'Super Freaky Girl' (PL2),2898
46,8.388,2898,2838,60,0.000782,Não,Substituição em PL2: 'Unholy (feat. Kim Petras)' → 'Chicago (Jersey Club)',2898
47,8.388,2898,2898,0,1.0,Sim,Troca inter-playlist: 'Selfish' (PL4) ↔ 'As It Was' (PL2),2898
48,8.388,2898,2898,0,1.0,Sim,Troca inter-playlist: 'Las Frutas' (PL4) ↔ 'Zuipen' (PL3),2898
49,8.388,2898,2892,6,0.489042,Sim,Substituição em PL2: 'Oriente' → 'Come to House',2898
50,8.388,2892,2892,0,1.0,Sim,Troca inter-playlist: 'As It Was' (PL4) ↔ 'Unholy (feat. Kim Petras)' (PL2),2898
51,8.388,2892,2892,0,1.0,Sim,Troca inter-playlist: 'Alien Blues' (PL1) ↔ 'A los Que Se Han Apagado' (PL4),2898
52,8.388,2892,2892,0,1.0,Sim,Troca inter-playlist: 'La Bachata' (PL2) ↔ 'I Ain't Worried' (PL4),2898
53,8.388,2892,2892,0,1.0,Sim,Troca inter-playlist: 'Super Freaky Girl' (PL4) ↔ 'Another Love' (PL2),2898
54,8.388,2892,2868,24,0.057198,Não,Substituição em PL4: 'Jamais Serão' → 'What's the Deal',2898
55,8.388,2892,2892,0,1.0,Sim,Troca inter-playlist: 'attached' (PL2) ↔ 'Another Love' (PL4),2898
56,8.388,2892,2892,0,1.0,Sim,Troca inter-playlist: 'Super Freaky Girl' (PL2) ↔ 'attached' (PL4),2898
